"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","108.7974","102.0876","113.1873","97.6577","-","5.69%"
"Apr 22","102.9376","98.9617","107.9674","92.0107","-","3.88%"
"Mar 22","99.0902","93.0626","123.4378","91.1357","-","7.25%"
"Feb 22","92.3906","84.5499","97.2325","82.9608","-","9.48%"
"Jan 22","84.3872","71.9421","84.9903","70.8603","-","17.72%"
"Dec 21","71.6836","64.1867","73.7610","59.6400","-","13.87%"
"Nov 21","62.9502","77.6747","78.9969","61.3617","-","-19.08%"
"Oct 21","77.7888","70.2024","79.7293","69.5282","-","10.72%"
"Sep 21","70.2586","64.1064","71.7850","62.6925","-","9.92%"
"Aug 21","63.9192","67.7330","68.1882","57.7951","-","-6.94%"
"Jul 21","68.6897","67.7237","70.6497","60.5343","-","1.62%"
"Jun 21","67.5937","62.0693","68.2439","61.9498","-","10.87%"
"May 21","60.9662","58.4014","62.0601","56.5996","-","4.47%"
"Apr 21","58.3554","54.6952","60.0285","52.9679","-","7.36%"
"Mar 21","54.3552","57.2034","62.1189","52.6922","-","-3.38%"
"Feb 21","56.2571","47.6496","58.3979","47.6404","-","18.11%"
"Jan 21","47.6313","44.9760","49.2190","43.2605","-","7.34%"
"Dec 20","44.3738","41.2882","45.1767","40.4336","-","6.50%"
"Nov 20","41.6650","32.0161","42.4828","31.7312","-","25.42%"
"Oct 20","33.2199","37.5585","38.7152","32.4296","-","-11.55%"
"Sep 20","37.5585","40.3227","40.7989","34.1687","-","-6.25%"
"Aug 20","40.0612","37.8731","41.1972","37.4942","-","5.04%"
"Jul 20","38.1382","37.7878","40.2502","36.7271","-","2.36%"
"Jun 20","37.2575","34.0185","39.5209","33.1567","-","8.67%"
"May 20","34.2837","23.3076","34.4447","21.9125","-","49.58%"
"Apr 20","22.9195","30.3667","42.0304","18.1468","-","-24.01%"
"Mar 20","30.1606","68.2147","71.8964","28.3786","-","-54.43%"
"Feb 20","66.1824","76.2491","80.6736","64.9306","-","-13.69%"
"Jan 20","76.6804","90.7494","95.8505","75.8327","-","-15.16%"
"Dec 19","90.3776","82.8288","92.3556","81.7947","-","10.89%"
"Nov 19","81.4993","80.3470","86.7730","80.0811","-","1.70%"
"Oct 19","80.1402","80.2829","84.1878","75.2118","-","0.54%"
"Sep 19","79.7080","80.6514","93.0197","77.7326","-","-1.49%"
"Aug 19","80.9168","84.7900","85.0393","74.1143","-","-5.81%"
"Jul 19","85.9045","87.5909","89.4533","80.4640","-","0.10%"
"Jun 19","85.8165","78.1019","87.8842","74.8082","-","8.60%"
"May 19","79.0176","93.8463","94.5109","78.9437","-","-16.38%"
"Apr 19","94.4962","89.3147","98.1295","89.2851","-","6.36%"
"Mar 19","88.8419","85.4295","89.6987","81.0864","-","4.39%"
"Feb 19","85.1045","80.6423","86.0795","77.0481","-","5.36%"
"Jan 19","80.7775","68.4784","83.1202","67.1719","-","17.65%"
"Dec 18","68.6586","81.4110","82.5768","64.1535","-","-10.96%"
"Nov 18","77.1111","98.7621","99.1861","74.9157","-","-22.17%"
"Oct 18","99.0801","110.8293","116.0041","99.0044","-","-10.34%"
"Sep 18","110.5124","105.1264","111.2064","100.6003","-","5.59%"
"Aug 18","104.6586","101.4907","105.6997","96.1345","-","2.52%"
"Jul 18","102.0845","106.2861","108.3349","98.5511","-","-5.11%"
"Jun 18","107.5777","98.8062","108.0677","93.5478","-","8.68%"
"May 18","98.9834","101.1833","107.6208","97.3888","-","-2.10%"
"Apr 18","101.1095","95.8657","102.2021","90.8681","-","5.92%"
"Mar 18","95.4541","90.3977","97.5707","88.0900","-","5.65%"
"Feb 18","90.3536","94.3626","96.5043","84.6825","-","-4.19%"
"Jan 18","94.3044","88.3603","97.0725","87.6464","-","7.10%"
"Dec 17","88.0543","83.9340","88.1563","81.3543","-","5.26%"
"Nov 17","83.6571","79.9843","85.9598","78.8767","-","5.15%"
"Oct 17","79.5617","76.0098","79.8240","72.3699","-","4.49%"
"Sep 17","76.1424","70.4395","77.8666","69.8500","-","7.74%"
"Aug 17","70.6753","74.5917","74.7697","68.3322","-","-5.02%"
"Jul 17","74.4137","68.8813","74.5324","65.0100","-","8.38%"
"Jun 17","68.6588","73.0153","73.6747","62.8149","-","-5.19%"
"May 17","72.4158","74.2142","77.9160","66.1814","-","-2.62%"
"Apr 17","74.3641","76.8410","81.6194","72.8355","-","-3.26%"
"Mar 17","76.8714","82.8571","83.2672","71.5238","-","-7.04%"
"Feb 17","82.6899","81.4837","84.0368","79.6593","-","1.19%"
"Jan 17","81.7158","85.1354","86.8839","79.9209","-","-3.38%"
"Dec 16","84.5784","79.5121","86.8791","78.7898","-","6.59%"
"Nov 16","79.3516","76.3663","80.0257","68.9512","-","4.17%"
"Oct 16","76.1737","78.5836","84.5358","76.0292","-","-3.59%"
"Sep 16","79.0094","74.5054","79.1896","70.5418","-","6.47%"
"Aug 16","74.2105","70.5666","81.8756","66.5973","-","5.16%"
"Jul 16","70.5666","83.4925","84.3577","68.8364","-","-15.12%"
"Jun 16","83.1363","84.9319","89.5198","78.9295","-","-2.37%"
"May 16","85.1574","80.3705","87.0825","76.0346","-","5.16%"
"Apr 16","80.9776","69.6165","82.4344","64.4259","-","15.56%"
"Mar 16","70.0734","64.7000","77.6400","64.3345","-","7.76%"
"Feb 16","65.0290","68.7421","69.7387","56.1028","-","-6.84%"
"Jan 16","69.8010","80.6801","82.0089","57.2401","-","-11.92%"
"Dec 15","79.2476","93.7438","94.4150","75.7803","-","-14.96%"
"Nov 15","93.1845","105.8477","110.0987","90.4102","-","-12.26%"
"Oct 15","106.2057","104.8493","116.6340","97.4130","-","2.62%"
"Sep 15","103.4951","110.3351","113.5256","100.4194","-","-9.69%"
"Aug 15","114.6044","111.4908","114.8339","88.5756","-","2.09%"
"Jul 15","112.2532","140.8405","141.2456","111.2526","-","-21.24%"
"Jun 15","142.5320","144.4845","148.9816","137.2180","-","-2.09%"
"May 15","145.5709","146.7055","153.4892","136.4697","-","-0.68%"
"Apr 15","146.5607","120.6899","146.8504","119.9000","-","20.82%"
"Mar 15","121.3015","132.0301","137.5091","112.2294","-","-8.71%"
"Feb 15","132.8711","124.2837","143.7595","124.0449","-","3.81%"
"Jan 15","127.9985","144.0779","144.5024","115.6869","-","-10.17%"
"Dec 14","142.4858","172.7505","184.6588","140.3366","-","-19.33%"
"Nov 14","176.6220","214.3495","215.8981","176.1414","-","-17.74%"
"Oct 14","214.7233","240.7961","244.8256","210.1842","-","-10.56%"
"Sep 14","240.0850","249.7242","250.0139","235.9238","-","-4.06%"
"Aug 14","250.2509","254.6257","256.4716","242.5080","-","-1.95%"
"Jul 14","255.2236","273.6303","273.9943","255.0937","-","-6.26%"
"Jun 14","272.2784","262.5795","276.8281","259.7929","-","3.69%"
"May 14","262.5795","253.3761","267.1557","250.8451","-","3.63%"
"Apr 14","253.3761","254.5529","263.6021","248.2500","-","-0.67%"
"Mar 14","255.0803","255.8587","262.3625","243.6295","-","-0.30%"
"Feb 14","255.8587","241.8032","257.8425","238.8269","-","5.81%"
"Jan 14","241.8032","244.4323","245.7221","226.9463","-","-1.08%"
"Dec 13","244.4323","230.5144","249.9634","230.1415","-","6.04%"
"Nov 13","230.5144","240.2103","240.9562","228.2023","-","-4.07%"
"Oct 13","240.2849","253.0597","258.0799","239.0667","-","-5.05%"
"Sep 13","253.0597","264.8063","271.1372","249.9190","-","-4.44%"
"Aug 13","264.8063","259.6482","275.3165","248.7291","-","3.69%"
"Jul 13","255.3928","236.0615","264.7546","235.9885","-","8.91%"
"Jun 13","234.5052","226.0595","240.6815","224.9378","-","4.56%"
"May 13","224.2793","224.9621","237.3503","220.2800","-","-1.83%"
"Apr 13","228.4494","236.7868","239.0193","211.3547","-","-4.23%"
"Mar 13","238.5286","223.8337","238.7985","220.3256","-","5.16%"
"Feb 13","226.8267","241.2194","243.4274","225.7472","-","-6.22%"
"Jan 13","241.8644","231.9408","243.2786","228.4427","-","5.66%"
"Dec 12","228.9141","223.6502","229.2366","214.2990","-","2.40%"
"Nov 12","223.5496","218.4707","225.7371","212.6626","-","2.51%"
"Oct 12","218.0684","232.5505","237.5680","214.2214","-","-6.81%"
"Sep 12","233.9973","248.0141","255.2929","225.9004","-","-4.72%"
"Aug 12","245.5969","225.4148","249.4296","222.0943","-","9.19%"
"Jul 12","224.9295","214.0739","238.0585","210.7278","-","3.15%"
"Jun 12","218.0585","218.2305","223.7608","198.5694","-","-2.03%"
"May 12","222.5776","269.8557","274.5887","220.9828","-","-17.79%"
"Apr 12","270.7560","266.1573","273.8197","261.6627","-","1.18%"
"Mar 12","267.5859","279.6639","283.9756","265.3002","-","-4.19%"
"Feb 12","279.2743","260.3384","286.5990","250.3708","-","8.11%"
"Jan 12","258.3187","266.2928","273.2892","256.0891","-","-0.53%"
"Dec 11","259.6827","263.7374","269.6878","243.8394","-","-1.72%"
"Nov 11","264.2377","237.5138","270.7409","234.5913","-","7.82%"
