"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","109.8874","102.0876","113.1873","97.6577","-","6.75%"
"Apr 22","102.9376","98.9617","107.9674","92.0107","-","3.88%"
"Mar 22","99.0902","93.0626","123.4378","91.1357","-","7.25%"
"Feb 22","92.3906","84.5499","97.2325","82.9608","-","9.48%"
"Jan 22","84.3872","71.9421","84.9903","70.8603","-","17.72%"
"Dec 21","71.6836","64.1867","73.7610","59.6400","-","13.87%"
"Nov 21","62.9502","77.6747","78.9969","61.3617","-","-19.08%"
"Oct 21","77.7888","70.2024","79.7293","69.5282","-","10.72%"
"Sep 21","70.2586","64.1064","71.7850","62.6925","-","9.92%"
"Aug 21","63.9192","67.7330","68.1882","57.7951","-","-6.94%"
"Jul 21","68.6897","67.7237","70.6497","60.5343","-","1.62%"
"Jun 21","67.5937","62.0693","68.2439","61.9498","-","10.87%"
"May 21","60.9662","58.4014","62.0601","56.5996","-","4.47%"
"Apr 21","58.3554","54.6952","60.0285","52.9679","-","7.36%"
"Mar 21","54.3552","57.2034","62.1189","52.6922","-","-3.38%"
"Feb 21","56.2571","47.6496","58.3979","47.6404","-","18.11%"
"Jan 21","47.6313","44.9760","49.2190","43.2605","-","7.34%"
"Dec 20","44.3738","41.2882","45.1767","40.4336","-","6.50%"
"Nov 20","41.6650","32.0161","42.4828","31.7312","-","25.42%"
"Oct 20","33.2199","37.5585","38.7152","32.4296","-","-11.55%"
"Sep 20","37.5585","40.3227","40.7989","34.1687","-","-6.25%"
"Aug 20","40.0612","37.8731","41.1972","37.4942","-","5.04%"
"Jul 20","38.1382","37.7878","40.2502","36.7271","-","2.36%"
"Jun 20","37.2575","34.0185","39.5209","33.1567","-","8.67%"
"May 20","34.2837","23.3076","34.4447","21.9125","-","49.58%"
"Apr 20","22.9195","30.3667","42.0304","18.1468","-","-24.01%"
"Mar 20","30.1606","68.2147","71.8964","28.3786","-","-54.43%"
"Feb 20","66.1824","76.2491","80.6736","64.9306","-","-13.69%"
"Jan 20","76.6804","90.7494","95.8505","75.8327","-","-15.16%"
"Dec 19","90.3776","82.8288","92.3556","81.7947","-","10.89%"
"Nov 19","81.4993","80.3470","86.7730","80.0811","-","1.70%"
"Oct 19","80.1402","80.2829","84.1878","75.2118","-","0.54%"
"Sep 19","79.7080","80.6514","93.0197","77.7326","-","-1.49%"
"Aug 19","80.9168","84.7900","85.0393","74.1143","-","-5.81%"
"Jul 19","85.9045","87.5909","89.4533","80.4640","-","0.10%"
"Jun 19","85.8165","78.1019","87.8842","74.8082","-","8.60%"
"May 19","79.0176","93.8463","94.5109","78.9437","-","-16.38%"
"Apr 19","94.4962","89.3147","98.1295","89.2851","-","6.36%"
"Mar 19","88.8419","85.4295","89.6987","81.0864","-","4.39%"
"Feb 19","85.1045","80.6423","86.0795","77.0481","-","5.36%"
"Jan 19","80.7775","68.4784","83.1202","67.1719","-","17.65%"
"Dec 18","68.6586","81.4110","82.5768","64.1535","-","-10.96%"
"Nov 18","77.1111","98.7621","99.1861","74.9157","-","-22.17%"
"Oct 18","99.0801","110.8293","116.0041","99.0044","-","-10.34%"
"Sep 18","110.5124","105.1264","111.2064","100.6003","-","5.59%"
"Aug 18","104.6586","101.4907","105.6997","96.1345","-","2.52%"
"Jul 18","102.0845","106.2861","108.3349","98.5511","-","-5.11%"
"Jun 18","107.5777","98.8062","108.0677","93.5478","-","8.68%"
"May 18","98.9834","101.1833","107.6208","97.3888","-","-2.10%"
"Apr 18","101.1095","95.8657","102.2021","90.8681","-","5.92%"
"Mar 18","95.4541","90.3977","97.5707","88.0900","-","5.65%"
"Feb 18","90.3536","94.3626","96.5043","84.6825","-","-4.19%"
"Jan 18","94.3044","88.3603","97.0725","87.6464","-","7.10%"
"Dec 17","88.0543","83.9340","88.1563","81.3543","-","5.26%"
"Nov 17","83.6571","79.9843","85.9598","78.8767","-","5.15%"
"Oct 17","79.5617","76.0098","79.8240","72.3699","-","4.49%"
"Sep 17","76.1424","70.4395","77.8666","69.8500","-","7.74%"
"Aug 17","70.6753","74.5917","74.7697","68.3322","-","-5.02%"
"Jul 17","74.4137","68.8813","74.5324","65.0100","-","8.38%"
"Jun 17","68.6588","73.0153","73.6747","62.8149","-","-5.19%"
"May 17","72.4158","74.2142","77.9160","66.1814","-","-2.62%"
"Apr 17","74.3641","76.8410","81.6194","72.8355","-","-3.26%"
"Mar 17","76.8714","82.8571","83.2672","71.5238","-","-7.04%"
"Feb 17","82.6899","81.4837","84.0368","79.6593","-","1.19%"
