"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 16, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 13, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 12, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 11, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 10, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 09, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 06, 2022","0.83","0.83","0.83","0.83","-","0.00%"
"May 05, 2022","0.83","0.83","0.83","0.83","-","151.52%"
"May 04, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"May 03, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"May 02, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 29, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 28, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 27, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 26, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 25, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 22, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 21, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 20, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 19, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 18, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 15, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 14, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 13, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 12, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 11, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 08, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 07, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 06, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 05, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 04, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Apr 01, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 31, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 30, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 29, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 28, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 25, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 24, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 23, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 22, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 21, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 18, 2022","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 17, 2022","0.33","0.33","0.33","0.33","-","312.50%"
"Mar 16, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 15, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 14, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 11, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 10, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 09, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 08, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 07, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 04, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 03, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 02, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Mar 01, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 28, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 25, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 24, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 23, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 22, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 18, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 17, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 16, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 15, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 14, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 11, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 10, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 09, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 08, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 07, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 04, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 03, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 02, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Feb 01, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 31, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 28, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 27, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 26, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 25, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 24, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 21, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 20, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 19, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 18, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 14, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 13, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 12, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 11, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 10, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 07, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 06, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 05, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 04, 2022","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 03, 2022","0.08","0.08","0.08","0.08","-","14.29%"
"Dec 31, 2021","0.07","0.07","0.07","0.07","-","-12.50%"
"Dec 30, 2021","0.08","0.08","0.08","0.08","-","0.00%"
