"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","0.83","0.33","0.33","0.33","-","151.52%"
"Apr 22","0.33","0.33","0.33","0.33","-","0.00%"
"Mar 22","0.33","0.08","0.08","0.08","-","312.50%"
"Feb 22","0.08","0.08","0.08","0.08","-","0.00%"
"Jan 22","0.08","0.08","0.08","0.08","-","14.29%"
"Dec 21","0.07","0.08","0.08","0.08","-","0.00%"
"Nov 21","0.07","0.08","0.08","0.08","-","0.00%"
"Oct 21","0.07","0.08","0.08","0.08","-","16.67%"
"Sep 21","0.06","0.08","0.08","0.08","-","0.00%"
"Aug 21","0.06","0.10","0.10","0.10","-","-14.29%"
"Jul 21","0.07","0.10","0.10","0.10","-","-12.50%"
"Jun 21","0.08","0.06","0.06","0.06","-","60.00%"
"May 21","0.05","0.06","0.06","0.06","-","0.00%"
"Apr 21","0.05","0.07","0.07","0.07","-","-16.67%"
"Mar 21","0.06","0.07","0.07","0.07","-","-14.29%"
"Feb 21","0.07","0.08","0.08","0.08","-","0.00%"
"Jan 21","0.07","0.09","0.09","0.09","-","-22.22%"
"Dec 20","0.09","0.09","0.09","0.09","-","0.00%"
"Nov 20","0.09","0.09","0.09","0.09","-","0.00%"
"Oct 20","0.09","0.09","0.09","0.09","-","0.00%"
"Sep 20","0.09","0.09","0.09","0.09","-","0.00%"
"Aug 20","0.09","0.10","0.10","0.10","-","-10.00%"
"Jul 20","0.10","0.08","0.08","0.08","-","25.00%"
"Jun 20","0.08","0.05","0.05","0.05","-","60.00%"
"May 20","0.05","0.05","0.05","0.05","-","0.00%"
"Apr 20","0.05","0.06","0.06","0.06","-","-37.50%"
"Mar 20","0.08","0.25","0.25","0.25","-","-94.94%"
"Feb 20","1.58","1.58","1.58","1.58","-","-0.63%"
"Jan 20","1.59","1.59","1.59","1.59","-","2.58%"
"Dec 19","1.55","1.55","1.55","1.55","-","-0.64%"
"Nov 19","1.56","1.56","1.56","1.56","-","-1.27%"
"Oct 19","1.58","1.58","1.58","1.58","-","-16.84%"
"Sep 19","1.90","1.90","1.90","1.90","-","-10.80%"
"Aug 19","2.13","2.13","2.13","2.13","-","-11.25%"
"Jul 19","2.40","2.40","2.40","2.40","-","0.00%"
"Jun 19","2.40","2.40","2.40","2.40","-","0.00%"
"May 19","2.40","2.40","2.40","2.40","-","-2.04%"
"Apr 19","2.45","2.45","2.45","2.45","-","0.82%"
"Mar 19","2.43","2.43","2.43","2.43","-","1.25%"
"Feb 19","2.40","2.40","2.40","2.40","-","0.00%"
"Jan 19","2.40","2.40","2.40","2.40","-","0.00%"
"Dec 18","2.40","2.40","2.40","2.40","-","9.09%"
"Nov 18","2.20","2.20","2.20","2.20","-","0.00%"
"Oct 18","2.20","2.20","2.20","2.20","-","0.92%"
"Sep 18","2.18","2.18","2.18","2.18","-","14.14%"
"Aug 18","1.91","1.91","1.91","1.91","-","0.00%"
"Jul 18","1.91","1.91","1.91","1.91","-","0.00%"
"Jun 18","1.91","1.91","1.91","1.91","-","12.35%"
"May 18","1.70","1.70","1.70","1.70","-","0.59%"
"Apr 18","1.69","1.69","1.69","1.69","-","1.20%"
"Mar 18","1.67","1.67","1.67","1.67","-","23.70%"
"Feb 18","1.35","1.35","1.35","1.35","-","0.75%"
"Jan 18","1.34","1.34","1.34","1.34","-","0.75%"
"Dec 17","1.33","1.33","1.33","1.33","-","24.30%"
"Nov 17","1.07","1.07","1.07","1.07","-","0.00%"
"Oct 17","1.07","1.07","1.07","1.07","-","0.94%"
"Sep 17","1.06","1.06","1.06","1.06","-","-0.93%"
"Aug 17","1.07","1.07","1.07","1.07","-","0.00%"
"Jul 17","1.07","1.07","1.07","1.07","-","0.94%"
"Jun 17","1.06","1.06","1.06","1.06","-","27.71%"
"May 17","0.83","0.83","0.83","0.83","-","0.00%"
"Apr 17","0.83","0.83","0.83","0.83","-","1.22%"
"Mar 17","0.82","0.82","0.82","0.82","-","43.86%"
"Feb 17","0.57","0.57","0.57","0.57","-","1.79%"
"Jan 17","0.56","0.56","0.56","0.56","-","1.82%"
"Dec 16","0.55","0.55","0.55","0.55","-","77.42%"
"Nov 16","0.31","0.31","0.31","0.31","-","0.00%"
"Oct 16","0.31","0.31","0.31","0.31","-","6.90%"
"Sep 16","0.29","0.29","0.29","0.29","-","-3.33%"
"Aug 16","0.30","0.30","0.30","0.30","-","0.00%"
"Jul 16","0.30","0.30","0.30","0.30","-","0.00%"
"Jun 16","0.30","0.30","0.30","0.30","-","3.45%"
"May 16","0.29","0.29","0.29","0.29","-","-3.33%"
"Apr 16","0.30","0.30","0.30","0.30","-","20.00%"
"Mar 16","0.25","0.25","0.25","0.25","-","-13.79%"
"Feb 16","0.29","0.29","0.29","0.29","-","0.00%"
"Jan 16","0.29","0.29","0.29","0.29","-","45.00%"
"Dec 15","0.20","0.20","0.20","0.20","-","150.00%"
"Nov 15","0.08","0.08","0.08","0.08","-","14.29%"
"Oct 15","0.07","0.07","0.07","0.07","-","0.00%"
"Sep 15","0.07","0.07","0.07","0.07","-","-12.50%"
"Aug 15","0.08","0.08","0.08","0.08","-","0.00%"
"Jul 15","0.08","0.08","0.08","0.08","-","0.00%"
"Jun 15","0.08","0.08","0.08","0.08","-","0.00%"
"May 15","0.08","0.08","0.08","0.08","-","0.00%"
"Apr 15","0.08","0.08","0.08","0.08","-","33.33%"
"Mar 15","0.06","0.06","0.06","0.06","-","0.00%"
"Feb 15","0.06","0.06","0.06","0.06","-","0.00%"
"Jan 15","0.06","0.06","0.06","0.06","-","0.00%"
"Dec 14","0.06","0.06","0.06","0.06","-","-25.00%"
"Nov 14","0.08","0.08","0.08","0.08","-","14.29%"
"Oct 14","0.07","0.07","0.07","0.07","-","0.00%"
"Sep 14","0.07","0.07","0.07","0.07","-","0.00%"
"Aug 14","0.07","0.07","0.07","0.07","-","-12.50%"
"Jul 14","0.08","0.08","0.08","0.08","-","-11.11%"
"Jun 14","0.09","0.09","0.09","0.09","-","12.50%"
"May 14","0.08","0.08","0.08","0.08","-","-11.11%"
"Apr 14","0.09","0.09","0.09","0.09","-","50.00%"
"Mar 14","0.06","0.06","0.06","0.06","-","0.00%"
"Feb 14","0.06","0.06","0.06","0.06","-","-14.29%"
"Jan 14","0.07","0.07","0.07","0.07","-","0.00%"
"Dec 13","0.07","0.07","0.07","0.07","-","0.00%"
"Nov 13","0.07","0.07","0.07","0.07","-","0.00%"
"Oct 13","0.07","0.07","0.07","0.07","-","16.67%"
"Sep 13","0.06","0.06","0.06","0.06","-","-14.29%"
"Aug 13","0.07","0.07","0.07","0.07","-","-22.22%"
"Jul 13","0.09","0.09","0.09","0.09","-","28.57%"
"Jun 13","0.07","0.07","0.07","0.07","-","-22.22%"
"May 13","0.09","0.09","0.09","0.09","-","-35.71%"
"Apr 13","0.14","0.14","0.14","0.14","-","55.56%"
"Mar 13","0.09","0.09","0.09","0.09","-","-35.71%"
"Feb 13","0.14","0.14","0.14","0.14","-","-6.67%"
"Jan 13","0.15","0.15","0.15","0.15","-","66.67%"
"Dec 12","0.09","0.09","0.09","0.09","-","-43.75%"
"Nov 12","0.16","0.16","0.16","0.16","-","-11.11%"
"Oct 12","0.18","0.18","0.18","0.18","-","100.00%"
"Sep 12","0.09","0.09","0.09","0.09","-","-30.77%"
"Aug 12","0.13","0.13","0.13","0.13","-","0.00%"
"Jul 12","0.13","0.13","0.13","0.13","-","44.44%"
"Jun 12","0.09","0.09","0.09","0.09","-","-43.75%"
"May 12","0.16","0.16","0.16","0.16","-","0.00%"
"Apr 12","0.16","0.16","0.16","0.16","-","77.78%"
"Mar 12","0.09","0.09","0.09","0.09","-","-10.00%"
"Feb 12","0.10","0.10","0.10","0.10","-","-9.09%"
"Jan 12","0.11","0.11","0.11","0.11","-","175.00%"
