"Date","Price","Open","High","Low","Change %"
"May 15, 2022","1.2462","1.2263","1.2524","1.2218","1.64%"
"May 08, 2022","1.2261","1.2339","1.2407","1.2155","-0.62%"
"May 01, 2022","1.2337","1.2587","1.2640","1.2275","-1.86%"
"Apr 24, 2022","1.2571","1.2861","1.2862","1.2410","-2.07%"
"Apr 17, 2022","1.2837","1.3060","1.3091","1.2822","-1.69%"
"Apr 10, 2022","1.3058","1.3043","1.3149","1.2972","0.21%"
"Apr 03, 2022","1.3031","1.3114","1.3168","1.2981","-0.62%"
"Mar 27, 2022","1.3112","1.3190","1.3191","1.3050","-0.58%"
"Mar 20, 2022","1.3188","1.3182","1.3300","1.3119","0.06%"
"Mar 13, 2022","1.3180","1.3038","1.3213","1.2999","1.10%"
"Mar 06, 2022","1.3036","1.3227","1.3252","1.3026","-1.43%"
"Feb 27, 2022","1.3225","1.3407","1.3439","1.3201","-1.34%"
"Feb 20, 2022","1.3405","1.3595","1.3640","1.3271","-1.36%"
"Feb 13, 2022","1.3590","1.3558","1.3644","1.3485","0.22%"
"Feb 06, 2022","1.3560","1.3530","1.3645","1.3489","0.23%"
"Jan 30, 2022","1.3529","1.3399","1.3629","1.3386","0.93%"
"Jan 23, 2022","1.3404","1.3556","1.3566","1.3357","-1.11%"
"Jan 16, 2022","1.3554","1.3675","1.3692","1.3544","-0.87%"
"Jan 09, 2022","1.3673","1.3589","1.3750","1.3532","0.65%"
"Jan 02, 2022","1.3585","1.3531","1.3600","1.3431","0.41%"
"Dec 26, 2021","1.3529","1.3387","1.3551","1.3387","1.08%"
"Dec 19, 2021","1.3385","1.3247","1.3439","1.3172","1.08%"
"Dec 12, 2021","1.3242","1.3237","1.3376","1.3171","-0.20%"
"Dec 05, 2021","1.3269","1.3245","1.3291","1.3167","0.29%"
"Nov 28, 2021","1.3231","1.3342","1.3372","1.3195","-0.82%"
"Nov 21, 2021","1.3340","1.3455","1.3460","1.3278","-0.83%"
"Nov 14, 2021","1.3452","1.3423","1.3515","1.3396","0.29%"
"Nov 07, 2021","1.3413","1.3498","1.3609","1.3353","-0.60%"
"Oct 31, 2021","1.3494","1.3683","1.3699","1.3424","-1.44%"
"Oct 24, 2021","1.3691","1.3755","1.3830","1.3668","-0.44%"
"Oct 17, 2021","1.3751","1.3751","1.3836","1.3708","0.01%"
"Oct 10, 2021","1.3749","1.3613","1.3774","1.3569","1.01%"
"Oct 03, 2021","1.3611","1.3548","1.3657","1.3532","0.49%"
"Sep 26, 2021","1.3545","1.3680","1.3729","1.3412","-1.00%"
"Sep 19, 2021","1.3682","1.3746","1.3755","1.3609","-0.44%"
"Sep 12, 2021","1.3742","1.3843","1.3914","1.3727","-0.70%"
"Sep 05, 2021","1.3839","1.3863","1.3889","1.3726","-0.19%"
"Aug 29, 2021","1.3865","1.3758","1.3893","1.3730","0.79%"
"Aug 22, 2021","1.3757","1.3633","1.3781","1.3613","1.00%"
"Aug 15, 2021","1.3621","1.3839","1.3879","1.3601","-1.75%"
"Aug 08, 2021","1.3863","1.3880","1.3895","1.3791","-0.06%"
"Aug 01, 2021","1.3871","1.3901","1.3958","1.3860","-0.22%"
"Jul 25, 2021","1.3901","1.3754","1.3985","1.3736","1.13%"
"Jul 18, 2021","1.3745","1.3787","1.3787","1.3571","-0.20%"
"Jul 11, 2021","1.3772","1.3902","1.3911","1.3759","-0.91%"
"Jul 04, 2021","1.3899","1.3822","1.3909","1.3741","0.56%"
"Jun 27, 2021","1.3821","1.3884","1.3941","1.3732","-0.40%"
"Jun 20, 2021","1.3877","1.3811","1.4002","1.3786","0.49%"
"Jun 13, 2021","1.3809","1.4119","1.4133","1.3792","-2.11%"
"Jun 06, 2021","1.4106","1.4171","1.4191","1.4073","-0.34%"
"May 30, 2021","1.4154","1.4180","1.4250","1.4082","-0.23%"
"May 23, 2021","1.4187","1.4159","1.4220","1.4091","0.28%"
"May 16, 2021","1.4147","1.4090","1.4234","1.4076","0.36%"
"May 09, 2021","1.4096","1.3980","1.4167","1.3978","0.89%"
"May 02, 2021","1.3972","1.3827","1.4007","1.3800","1.14%"
"Apr 25, 2021","1.3814","1.3873","1.3978","1.3801","-0.43%"
"Apr 18, 2021","1.3874","1.3827","1.4010","1.3809","0.32%"
"Apr 11, 2021","1.3830","1.3710","1.3844","1.3669","0.89%"
"Apr 04, 2021","1.3708","1.3827","1.3920","1.3670","-0.87%"
"Mar 28, 2021","1.3829","1.3793","1.3854","1.3706","0.30%"
"Mar 21, 2021","1.3787","1.3866","1.3878","1.3670","-0.58%"
"Mar 14, 2021","1.3868","1.3920","1.4002","1.3808","-0.39%"
"Mar 07, 2021","1.3922","1.3837","1.4006","1.3800","0.59%"
"Feb 28, 2021","1.3841","1.3939","1.4017","1.3779","-0.65%"
"Feb 21, 2021","1.3932","1.4015","1.4237","1.3887","-0.59%"
"Feb 14, 2021","1.4014","1.3846","1.4037","1.3829","1.23%"
"Feb 07, 2021","1.3844","1.3729","1.3867","1.3680","0.81%"
"Jan 31, 2021","1.3733","1.3713","1.3759","1.3566","0.23%"
"Jan 24, 2021","1.3702","1.3680","1.3761","1.3609","0.13%"
"Jan 17, 2021","1.3684","1.3594","1.3747","1.3520","0.72%"
"Jan 10, 2021","1.3586","1.3567","1.3711","1.3451","0.17%"
"Jan 03, 2021","1.3563","1.3665","1.3705","1.3532","-0.79%"
"Dec 27, 2020","1.3671","1.3546","1.3687","1.3429","0.91%"
"Dec 20, 2020","1.3548","1.3475","1.3621","1.3189","0.21%"
"Dec 13, 2020","1.3520","1.3281","1.3626","1.3274","2.25%"
"Dec 06, 2020","1.3223","1.3449","1.3478","1.3134","-1.59%"
"Nov 29, 2020","1.3437","1.3314","1.3541","1.3287","0.92%"
"Nov 22, 2020","1.3314","1.3274","1.3399","1.3263","0.24%"
"Nov 15, 2020","1.3282","1.3179","1.3313","1.3162","0.73%"
"Nov 08, 2020","1.3186","1.3163","1.3310","1.3105","0.23%"
"Nov 01, 2020","1.3156","1.2946","1.3178","1.2853","1.66%"
"Oct 25, 2020","1.2941","1.3048","1.3081","1.2881","-0.76%"
"Oct 18, 2020","1.3040","1.2915","1.3178","1.2889","0.98%"
"Oct 11, 2020","1.2913","1.3028","1.3084","1.2862","-1.02%"
"Oct 04, 2020","1.3046","1.2933","1.3051","1.2845","0.89%"
"Sep 27, 2020","1.2931","1.2747","1.2980","1.2744","1.46%"
"Sep 20, 2020","1.2745","1.2924","1.2967","1.2674","-1.32%"
"Sep 13, 2020","1.2915","1.2803","1.3008","1.2775","0.95%"
"Sep 06, 2020","1.2793","1.3274","1.3285","1.2763","-3.68%"
"Aug 30, 2020","1.3282","1.3342","1.3484","1.3175","-0.50%"
"Aug 23, 2020","1.3349","1.3086","1.3357","1.3052","2.00%"
"Aug 16, 2020","1.3087","1.3087","1.3269","1.3059","0.02%"
"Aug 09, 2020","1.3084","1.3042","1.3144","1.3004","0.25%"
"Aug 02, 2020","1.3051","1.3082","1.3187","1.2981","-0.28%"
"Jul 26, 2020","1.3088","1.2786","1.3171","1.2780","2.32%"
"Jul 19, 2020","1.2791","1.2565","1.2804","1.2517","1.78%"
"Jul 12, 2020","1.2567","1.2612","1.2667","1.2479","-0.43%"
"Jul 05, 2020","1.2622","1.2485","1.2671","1.2459","1.10%"
"Jun 28, 2020","1.2485","1.2340","1.2531","1.2251","1.22%"
"Jun 21, 2020","1.2335","1.2356","1.2543","1.2313","-0.19%"
"Jun 14, 2020","1.2358","1.2531","1.2688","1.2343","-1.46%"
"Jun 07, 2020","1.2542","1.2681","1.2814","1.2473","-0.98%"
"May 31, 2020","1.2665","1.2339","1.2732","1.2322","2.58%"
