"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2022","8.055","8.128","8.131","8.040","-","-0.85%"
"May 19, 2022","8.124","8.135","8.499","7.909","-","-2.92%"
"May 18, 2022","8.368","8.318","8.548","8.160","80.72K","0.77%"
"May 17, 2022","8.304","8.016","8.372","8.015","76.67K","4.37%"
"May 16, 2022","7.956","7.700","8.183","7.663","93.52K","3.82%"
"May 13, 2022","7.663","7.673","7.919","7.515","85.04K","-0.98%"
"May 12, 2022","7.739","7.637","7.790","7.255","107.06K","1.30%"
"May 11, 2022","7.640","7.312","7.721","7.296","120.93K","3.45%"
"May 10, 2022","7.385","7.030","7.463","6.430","185.46K","5.11%"
"May 09, 2022","7.026","7.843","8.287","6.962","202.62K","-12.64%"
"May 06, 2022","8.043","8.843","8.996","7.957","168.30K","-8.43%"
"May 05, 2022","8.783","8.355","8.913","8.117","160.16K","4.37%"
"May 04, 2022","8.415","7.815","8.474","7.729","132.32K","5.80%"
"May 03, 2022","7.954","7.540","8.169","7.539","153.34K","6.41%"
"May 02, 2022","7.475","7.412","7.617","7.219","110.92K","3.19%"
"Apr 29, 2022","7.244","6.939","7.335","6.805","109.24K","5.17%"
"Apr 28, 2022","6.888","7.395","7.422","6.879","139.57K","-6.15%"
"Apr 27, 2022","7.339","7.009","7.524","6.956","-","7.14%"
"Apr 26, 2022","6.850","6.836","7.050","6.662","41.41K","2.71%"
"Apr 25, 2022","6.669","6.414","6.966","6.345","32.52K","2.07%"
"Apr 22, 2022","6.534","6.938","7.080","6.438","80.60K","-6.08%"
"Apr 21, 2022","6.957","6.825","7.146","6.703","145.26K","0.29%"
"Apr 20, 2022","6.937","7.253","7.410","6.791","157.96K","-3.33%"
