"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","8.055","7.396","8.989","6.450","80.72K","11.20%"
"Apr 22","7.244","5.627","8.065","5.505","2.89M","28.39%"
"Mar 22","5.642","4.408","5.832","4.340","2.17M","28.17%"
"Feb 22","4.402","4.921","5.572","3.876","2.44M","-9.68%"
"Jan 22","4.874","3.702","7.346","3.638","2.22M","30.67%"
"Dec 21","3.730","4.606","4.664","3.536","2.45M","-18.33%"
"Nov 21","4.567","5.310","5.876","4.482","2.53M","-15.83%"
"Oct 21","5.426","5.975","6.466","4.825","3.31M","-7.52%"
"Sep 21","5.867","4.403","6.280","4.378","3.51M","34.04%"
"Aug 21","4.377","3.973","4.526","3.734","2.60M","11.83%"
"Jul 21","3.914","3.746","4.187","3.520","2.13M","7.23%"
"Jun 21","3.650","3.036","3.814","3.010","2.73M","19.48%"
"May 21","3.055","2.938","3.149","2.882","1.49M","4.23%"
"Apr 21","2.931","2.605","2.971","2.453","2.14M","12.38%"
"Mar 21","2.608","2.800","2.887","2.422","2.14M","-5.88%"
"Feb 21","2.771","2.730","3.316","2.697","3.30M","8.07%"
"Jan 21","2.564","2.626","2.899","2.414","2.45M","0.98%"
"Dec 20","2.539","2.934","2.972","2.238","2.97M","-11.90%"
"Nov 20","2.882","3.374","3.393","2.525","2.51M","-14.07%"
"Oct 20","3.354","2.550","3.396","2.373","3.13M","32.73%"
"Sep 20","2.527","2.628","2.789","1.795","3.16M","-3.92%"
"Aug 20","2.630","1.859","2.743","1.852","3.34M","46.19%"
"Jul 20","1.799","1.754","1.928","1.605","2.90M","2.74%"
"Jun 20","1.751","1.830","1.864","1.432","3.39M","-5.30%"
"May 20","1.849","1.936","2.162","1.595","3.65M","-5.13%"
"Apr 20","1.949","1.643","1.974","1.521","3.57M","18.84%"
"Mar 20","1.640","1.695","1.998","1.519","3.84M","-2.61%"
"Feb 20","1.684","1.852","2.025","1.642","4.04M","-8.53%"
"Jan 20","1.841","2.184","2.255","1.812","3.85M","-15.90%"
"Dec 19","2.189","2.315","2.510","2.138","3.77M","-4.03%"
"Nov 19","2.281","2.637","2.905","2.270","3.66M","-13.37%"
"Oct 19","2.633","2.325","2.738","2.187","4.11M","13.00%"
"Sep 19","2.330","2.288","2.710","2.269","3.44M","1.97%"
"Aug 19","2.285","2.238","2.333","2.029","3.25M","2.33%"
"Jul 19","2.233","2.330","2.489","2.107","3.08M","-3.25%"
"Jun 19","2.308","2.444","2.475","2.159","2.65M","-5.95%"
"May 19","2.454","2.572","2.700","2.444","2.50M","-4.70%"
"Apr 19","2.575","2.663","2.733","2.439","2.30M","-3.27%"
"Mar 19","2.662","2.805","2.897","2.656","1.95M","-5.33%"
"Feb 19","2.812","2.832","2.908","2.543","2.24M","-0.07%"
"Jan 19","2.814","2.921","3.722","2.789","2.70M","-4.29%"
"Dec 18","2.940","4.527","4.666","2.930","2.76M","-36.25%"
"Nov 18","4.612","3.284","4.929","3.166","4.45M","41.43%"
"Oct 18","3.261","3.007","3.368","3.001","3.99M","8.41%"
"Sep 18","3.008","2.900","3.111","2.752","2.80M","3.16%"
