"Date","Price","Open","High","Low","Change %"
"May 22","1,841.01","1,896.67","1,951.14","1,787.09","-2.92%"
"Apr 22","1,896.40","1,937.51","1,998.41","1,872.34","-2.11%"
"Mar 22","1,937.22","1,908.19","2,070.29","1,890.03","1.54%"
"Feb 22","1,907.90","1,796.72","1,974.48","1,788.39","6.20%"
"Jan 22","1,796.47","1,830.14","1,853.98","1,779.88","-1.75%"
"Dec 21","1,828.39","1,774.15","1,830.58","1,753.84","3.08%"
"Nov 21","1,773.78","1,783.24","1,877.40","1,758.45","-0.51%"
"Oct 21","1,782.81","1,756.91","1,814.22","1,745.45","1.49%"
"Sep 21","1,756.66","1,813.57","1,834.55","1,721.07","-3.13%"
"Aug 21","1,813.43","1,814.34","1,832.10","1,684.77","-0.01%"
"Jul 21","1,813.58","1,770.06","1,833.99","1,765.47","2.47%"
"Jun 21","1,769.80","1,907.53","1,916.84","1,750.11","-7.16%"
"May 21","1,906.36","1,768.49","1,913.15","1,765.91","7.79%"
"Apr 21","1,768.59","1,708.09","1,798.29","1,705.42","3.61%"
"Mar 21","1,707.01","1,733.40","1,760.02","1,676.70","-1.53%"
"Feb 21","1,733.49","1,863.05","1,871.84","1,717.26","-6.10%"
"Jan 21","1,846.09","1,897.69","1,959.60","1,810.46","-2.66%"
"Dec 20","1,896.49","1,777.40","1,906.93","1,775.52","6.72%"
"Nov 20","1,777.02","1,878.59","1,965.92","1,764.69","-5.37%"
"Oct 20","1,877.95","1,885.80","1,933.45","1,859.67","-0.40%"
"Sep 20","1,885.44","1,967.63","1,992.38","1,848.45","-4.28%"
"Aug 20","1,969.75","1,980.98","2,073.41","1,864.30","-0.25%"
"Jul 20","1,974.69","1,781.60","1,981.22","1,757.68","10.90%"
"Jun 20","1,780.67","1,738.05","1,786.02","1,670.74","3.15%"
"May 20","1,726.30","1,685.95","1,765.94","1,670.06","2.75%"
"Apr 20","1,680.09","1,571.00","1,747.85","1,566.97","6.94%"
"Mar 20","1,571.05","1,591.10","1,702.96","1,451.50","-0.86%"
"Feb 20","1,584.74","1,590.20","1,689.11","1,547.40","-0.32%"
"Jan 20","1,589.81","1,517.24","1,611.15","1,517.12","4.80%"
"Dec 19","1,517.01","1,467.03","1,525.45","1,453.91","3.63%"
"Nov 19","1,463.90","1,513.32","1,515.81","1,445.61","-3.26%"
"Oct 19","1,513.16","1,472.30","1,518.81","1,459.00","2.80%"
"Sep 19","1,472.00","1,520.10","1,557.38","1,464.42","-3.15%"
"Aug 19","1,519.85","1,411.34","1,555.13","1,400.65","7.52%"
"Jul 19","1,413.55","1,392.83","1,452.96","1,381.84","0.32%"
"Jun 19","1,409.10","1,307.40","1,438.99","1,306.62","7.96%"
"May 19","1,305.25","1,283.59","1,307.11","1,266.18","1.71%"
"Apr 19","1,283.35","1,291.48","1,310.96","1,266.25","-0.66%"
"Mar 19","1,291.90","1,312.94","1,324.57","1,281.10","-1.58%"
"Feb 19","1,312.66","1,320.93","1,347.11","1,302.53","-0.60%"
"Jan 19","1,320.56","1,282.78","1,326.65","1,276.58","2.95%"
"Dec 18","1,282.73","1,223.19","1,284.34","1,221.22","4.98%"
"Nov 18","1,221.88","1,215.24","1,237.74","1,196.19","0.64%"
"Oct 18","1,214.14","1,192.19","1,243.63","1,183.24","1.88%"
"Sep 18","1,191.69","1,200.29","1,212.90","1,180.68","-0.75%"
"Aug 18","1,200.71","1,223.97","1,225.10","1,160.19","-1.86%"
"Jul 18","1,223.41","1,253.49","1,266.26","1,211.48","-2.30%"
"Jun 18","1,252.25","1,298.79","1,309.64","1,245.67","-3.52%"
"May 18","1,297.92","1,315.40","1,326.17","1,282.00","-1.30%"
"Apr 18","1,314.95","1,326.21","1,365.37","1,310.29","-0.68%"
"Mar 18","1,324.00","1,318.22","1,356.87","1,302.76","0.48%"
"Feb 18","1,317.66","1,345.08","1,361.97","1,306.99","-2.01%"
"Jan 18","1,344.70","1,302.62","1,366.26","1,302.60","3.24%"
"Dec 17","1,302.45","1,274.59","1,307.97","1,236.27","2.20%"
"Nov 17","1,274.36","1,270.94","1,299.44","1,265.49","0.25%"
"Oct 17","1,271.20","1,279.20","1,306.46","1,260.51","-0.62%"
"Sep 17","1,279.10","1,322.03","1,357.74","1,277.60","-3.22%"
"Aug 17","1,321.60","1,269.05","1,326.19","1,251.36","4.14%"
"Jul 17","1,269.05","1,241.76","1,271.29","1,204.73","2.24%"
"Jun 17","1,241.20","1,268.90","1,296.26","1,236.78","-2.12%"
"May 17","1,268.09","1,268.50","1,274.30","1,214.18","0.03%"
"Apr 17","1,267.65","1,248.30","1,295.66","1,243.69","1.52%"
"Mar 17","1,248.63","1,248.57","1,261.41","1,194.89","0.01%"
"Feb 17","1,248.52","1,210.60","1,264.18","1,198.04","3.14%"
"Jan 17","1,210.51","1,151.09","1,220.21","1,145.99","5.13%"
"Dec 16","1,151.46","1,173.01","1,188.09","1,122.69","-1.81%"
"Nov 16","1,172.70","1,276.90","1,337.85","1,170.72","-8.19%"
"Oct 16","1,277.28","1,317.83","1,319.93","1,241.46","-2.93%"
"Sep 16","1,315.80","1,309.35","1,353.03","1,302.33","0.56%"
"Aug 16","1,308.45","1,349.97","1,367.69","1,305.02","-3.12%"
"Jul 16","1,350.59","1,323.40","1,375.30","1,310.80","2.18%"
"Jun 16","1,321.78","1,215.85","1,358.47","1,206.02","8.82%"
"May 16","1,214.69","1,293.69","1,303.97","1,199.88","-6.08%"
"Apr 16","1,293.36","1,232.70","1,296.58","1,209.00","4.98%"
"Mar 16","1,231.95","1,238.19","1,282.90","1,208.55","-0.47%"
"Feb 16","1,237.76","1,117.85","1,261.17","1,116.24","10.75%"
"Jan 16","1,117.64","1,061.09","1,128.30","1,060.74","5.35%"
"Dec 15","1,060.91","1,064.55","1,089.13","1,046.22","-0.29%"
"Nov 15","1,064.02","1,141.74","1,143.10","1,052.84","-6.83%"
"Oct 15","1,142.00","1,115.15","1,191.11","1,104.72","2.46%"
"Sep 15","1,114.60","1,134.99","1,156.74","1,098.75","-1.72%"
"Aug 15","1,134.10","1,095.24","1,168.72","1,081.00","3.53%"
"Jul 15","1,095.40","1,173.10","1,175.43","1,077.45","-6.55%"
"Jun 15","1,172.20","1,190.90","1,205.88","1,162.84","-1.48%"
"May 15","1,189.75","1,184.55","1,232.60","1,170.64","0.50%"
"Apr 15","1,183.85","1,183.75","1,224.52","1,175.26","0.06%"
"Mar 15","1,183.10","1,213.90","1,223.60","1,143.18","-2.43%"
"Feb 15","1,212.55","1,281.44","1,285.67","1,191.16","-5.48%"
"Jan 15","1,282.80","1,183.88","1,306.50","1,168.75","8.39%"
"Dec 14","1,183.55","1,166.90","1,238.48","1,143.16","1.41%"
"Nov 14","1,167.04","1,173.60","1,207.94","1,132.13","-0.59%"
"Oct 14","1,173.92","1,209.24","1,255.43","1,161.53","-2.88%"
"Sep 14","1,208.74","1,287.05","1,290.32","1,204.65","-6.09%"
"Aug 14","1,287.07","1,282.00","1,322.93","1,273.41","0.39%"
"Jul 14","1,282.09","1,327.15","1,345.25","1,281.06","-3.40%"
"Jun 14","1,327.19","1,250.90","1,329.50","1,240.95","6.12%"
"May 14","1,250.69","1,291.65","1,315.82","1,242.24","-3.14%"
"Apr 14","1,291.29","1,284.25","1,331.34","1,268.52","0.60%"
"Mar 14","1,283.64","1,326.50","1,392.15","1,282.54","-3.18%"
"Feb 14","1,325.79","1,245.20","1,345.66","1,240.62","6.64%"
"Jan 14","1,243.19","1,207.76","1,278.40","1,199.29","3.17%"
"Dec 13","1,204.94","1,251.65","1,267.76","1,184.75","-3.76%"
"Nov 13","1,251.99","1,323.70","1,327.70","1,227.86","-5.38%"
"Oct 13","1,323.19","1,327.75","1,361.97","1,252.05","-0.28%"
"Sep 13","1,326.94","1,396.56","1,416.56","1,291.83","-4.93%"
"Aug 13","1,395.69","1,323.20","1,434.01","1,273.25","5.54%"
"Jul 13","1,322.49","1,234.10","1,348.30","1,207.88","7.25%"
"Jun 13","1,233.14","1,389.45","1,423.55","1,181.09","-11.05%"
"May 13","1,386.40","1,476.55","1,488.23","1,339.58","-6.11%"
"Apr 13","1,476.60","1,597.85","1,604.03","1,321.89","-7.49%"
