"Date","Price","Open","High","Low","Change %"
"May 15, 2022","1,841.03","1,951.14","1,951.14","1,787.09","1.65%"
"May 08, 2022","1,811.15","1,883.80","1,885.95","1,799.24","-3.81%"
"May 01, 2022","1,882.96","1,896.09","1,910.03","1,850.33","-0.71%"
"Apr 24, 2022","1,896.40","1,931.09","1,934.71","1,872.19","-1.73%"
"Apr 17, 2022","1,929.73","1,972.84","1,998.60","1,926.52","-2.27%"
"Apr 10, 2022","1,974.54","1,947.15","1,981.82","1,940.05","1.47%"
"Apr 03, 2022","1,945.85","1,924.94","1,948.46","1,915.24","1.12%"
"Mar 27, 2022","1,924.30","1,958.75","1,959.36","1,890.03","-1.69%"
"Mar 20, 2022","1,957.40","1,922.24","1,966.19","1,910.89","1.89%"
"Mar 13, 2022","1,921.09","1,985.49","1,990.33","1,895.22","-3.23%"
"Mar 06, 2022","1,985.29","1,977.09","2,070.29","1,958.80","0.86%"
"Feb 27, 2022","1,968.45","1,920.86","1,970.80","1,890.59","4.29%"
"Feb 20, 2022","1,887.56","1,900.40","1,974.48","1,879.05","-0.54%"
"Feb 13, 2022","1,897.87","1,861.55","1,902.84","1,844.27","2.04%"
"Feb 06, 2022","1,859.96","1,806.99","1,865.63","1,806.94","2.90%"
"Jan 30, 2022","1,807.49","1,791.19","1,815.44","1,785.03","0.92%"
"Jan 23, 2022","1,791.03","1,834.49","1,853.98","1,779.88","-2.30%"
"Jan 16, 2022","1,833.24","1,817.90","1,848.36","1,805.53","0.88%"
"Jan 09, 2022","1,817.22","1,795.41","1,829.66","1,790.43","1.20%"
"Jan 02, 2022","1,795.63","1,830.14","1,832.06","1,782.63","-1.79%"
"Dec 26, 2021","1,828.39","1,808.19","1,830.58","1,788.94","1.12%"
"Dec 19, 2021","1,808.11","1,799.40","1,812.70","1,784.58","0.58%"
"Dec 12, 2021","1,797.68","1,782.94","1,814.63","1,753.84","0.85%"
"Dec 05, 2021","1,782.51","1,784.79","1,793.60","1,769.43","-0.07%"
"Nov 28, 2021","1,783.74","1,790.05","1,809.38","1,761.68","-0.45%"
"Nov 21, 2021","1,791.81","1,846.74","1,849.49","1,778.44","-2.86%"
"Nov 14, 2021","1,844.60","1,868.15","1,877.40","1,842.98","-1.04%"
"Nov 07, 2021","1,864.04","1,818.44","1,868.73","1,812.08","2.60%"
"Oct 31, 2021","1,816.73","1,783.24","1,818.61","1,758.45","1.90%"
"Oct 24, 2021","1,782.81","1,794.00","1,810.49","1,771.70","-0.54%"
"Oct 17, 2021","1,792.48","1,767.74","1,814.22","1,759.68","1.43%"
"Oct 10, 2021","1,767.26","1,757.34","1,800.91","1,749.68","0.60%"
"Oct 03, 2021","1,756.67","1,762.15","1,781.60","1,745.45","-0.21%"
"Sep 26, 2021","1,760.36","1,751.24","1,764.63","1,721.07","0.60%"
"Sep 19, 2021","1,749.86","1,754.30","1,787.51","1,737.84","-0.24%"
"Sep 12, 2021","1,754.16","1,788.55","1,808.99","1,745.04","-1.86%"
"Sep 05, 2021","1,787.34","1,828.66","1,830.60","1,781.98","-2.13%"
"Aug 29, 2021","1,826.19","1,817.55","1,834.55","1,801.47","0.52%"
"Aug 22, 2021","1,816.67","1,780.55","1,819.38","1,776.03","2.01%"
"Aug 15, 2021","1,780.87","1,778.44","1,795.77","1,770.38","0.10%"
"Aug 08, 2021","1,779.15","1,763.34","1,780.53","1,684.77","0.93%"
"Aug 01, 2021","1,762.69","1,814.34","1,832.10","1,758.33","-2.81%"
"Jul 25, 2021","1,813.58","1,802.65","1,833.05","1,792.60","0.68%"
"Jul 18, 2021","1,801.34","1,811.65","1,825.27","1,790.45","-0.53%"
"Jul 11, 2021","1,810.89","1,807.94","1,833.99","1,791.21","0.16%"
"Jul 04, 2021","1,807.98","1,787.69","1,818.70","1,784.09","1.19%"
"Jun 27, 2021","1,786.79","1,781.24","1,795.40","1,750.11","0.36%"
"Jun 20, 2021","1,780.34","1,764.44","1,795.18","1,764.44","0.96%"
"Jun 13, 2021","1,763.34","1,874.59","1,878.21","1,761.04","-6.04%"
"Jun 06, 2021","1,876.64","1,888.49","1,903.95","1,869.84","-0.71%"
"May 30, 2021","1,889.97","1,903.69","1,916.84","1,856.09","-0.67%"
"May 23, 2021","1,902.64","1,882.34","1,913.15","1,872.73","1.19%"
"May 16, 2021","1,880.30","1,843.84","1,890.18","1,841.24","2.07%"
"May 09, 2021","1,842.19","1,833.24","1,845.58","1,808.78","0.64%"
"May 02, 2021","1,830.48","1,768.49","1,843.45","1,765.91","3.50%"
"Apr 25, 2021","1,768.59","1,776.34","1,790.43","1,756.19","-0.48%"
"Apr 18, 2021","1,777.18","1,779.50","1,798.29","1,763.18","0.05%"
"Apr 11, 2021","1,776.31","1,743.80","1,784.07","1,723.27","1.91%"
"Apr 04, 2021","1,743.10","1,728.74","1,759.13","1,721.22","0.82%"
"Mar 28, 2021","1,728.84","1,732.15","1,733.40","1,677.93","-0.18%"
"Mar 21, 2021","1,731.97","1,745.74","1,747.18","1,721.23","-0.73%"
"Mar 14, 2021","1,744.74","1,727.74","1,755.59","1,719.05","1.06%"
